row_shp,unique_id_0.2
1,5
2,8
3,5
4,8
5,3
6,5
7,6
8,5
9,20
10,3
11,15
12,15
13,49
14,32
15,32
16,32
17,32
18,32
19,32
20,32
21,49
22,32
23,42
24,32
25,42
26,32
27,34
28,27
29,34
30,33
31,34
32,34
33,32
34,15
35,32
36,32
37,32
38,32
39,32
40,32
41,32
42,32
43,22
44,8
45,26
46,10
47,10
48,41
49,47
50,26
51,63
52,26
53,10
54,12
55,10
56,12
57,20
58,22
59,10
60,22
61,22
62,6
63,20
64,20
65,6
66,20
67,26
68,10
69,8
70,2
71,6
72,22
73,20
74,20
75,6
76,22
77,22
78,6
79,26
80,10
81,26
82,26
83,20
84,26
85,26
86,12
87,22
88,8
89,26
90,26
91,10
92,26
93,22
94,41
95,6
96,6
97,41
98,41
99,10
100,22
101,10
102,22
103,10
104,26
105,20
106,12
107,8
108,26
109,18
110,39
111,20
112,20
113,6
114,26
115,22
116,22
117,6
118,20
119,41
120,17
121,20
122,18
123,18
124,26
125,22
126,26
127,8
128,22
129,20
130,39
131,26
132,26
133,26
134,26
135,26
136,41
137,26
138,36
139,30
140,22
141,22
142,26
143,12
144,10
145,18
146,26
147,31
148,31
149,48
150,30
151,26
152,47
153,37
154,22
155,12
156,12
157,22
158,18
159,6
160,6
161,26
162,26
163,10
164,22
165,18
166,26
167,12
168,20
169,26
170,12
171,26
172,34
173,27
174,50
175,43
176,50
177,50
178,34
179,34
180,43
181,27
182,43
183,50
184,43
185,43
186,50
187,43
188,50
189,50
190,34
191,50
192,24
193,24
194,52
195,52
196,52
197,52
198,52
199,52
200,52
201,45
202,45
203,53
204,53
205,53
206,53
207,22
208,22
209,36
210,18
211,54
212,2
213,4
214,22
215,39
216,16
217,4
218,4
219,20
220,2
221,4
222,26
223,2
224,20
225,39
226,6
227,22
228,36
229,4
230,4
231,22
232,4
233,57
234,26
235,1
236,36
237,22
238,16
239,22
240,20
241,41
242,22
243,26
244,41
245,26
246,26
247,26
248,4
249,12
250,26
251,22
252,26
253,26
254,26
255,26
256,41
257,41
258,41
259,26
260,41
261,26
262,8
263,22
264,8
265,8
266,10
267,10
268,8
269,4
270,4
271,8
272,6
273,8
274,8
275,39
276,4
277,20
278,17
279,56
280,26
281,20
282,39
283,26
284,39
285,41
286,20
287,39
288,41
289,22
290,41
291,41
292,22
293,20
294,22
295,20
296,20
297,41
298,41
299,26
300,39
301,57
302,41
303,57
304,22
305,41
306,57
307,41
308,41
309,26
310,22
311,57
312,22
313,41
314,39
315,41
316,41
317,22
318,39
319,41
320,56
321,20
322,39
323,39
324,39
325,41
326,41
327,39
328,39
329,22
330,26
331,22
332,56
333,20
334,26
335,57
336,26
337,26
338,41
339,59
340,26
341,41
342,41
343,26
344,26
345,2
346,10
347,2
348,4
349,2
350,2
351,2
352,17
353,26
354,22
355,12
356,22
357,26
358,22
359,26
360,22
361,22
362,10
363,10
364,26
365,22
366,22
367,26
368,20
369,26
370,20
371,20
372,26
373,22
374,26
375,6
376,8
377,39
378,20
379,20
380,20
381,20
382,22
383,26
384,8
385,8
386,6
387,26
388,26
389,26
390,41
391,41
392,41
393,41
394,41
395,26
396,41
397,41
398,26
399,57
400,41
401,26
402,26
403,41
404,41
405,41
406,26
407,20
408,10
409,18
410,12
411,22
412,26
413,22
414,10
415,8
416,8
417,8
418,20
419,8
420,22
421,6
422,26
423,26
424,10
425,22
426,10
427,8
428,22
429,26
430,10
431,30
432,8
433,22
434,22
435,22
436,26
437,41
438,26
439,26
440,26
441,41
442,26
443,41
444,26
445,41
446,26
447,26
448,26
449,26
450,26
451,41
452,6
453,6
454,6
455,6
456,6
457,26
458,20
459,22
460,6
461,4
462,22
463,18
464,4
465,41
466,6
467,20
468,51
469,51
470,51
471,51
472,60
473,28
474,51
475,60
476,51
477,28
478,28
479,51
480,35
481,28
482,23
483,28
484,28
485,23
486,13
487,28
488,28
489,28
490,28
491,28
492,35
493,51
494,44
495,35
496,51
497,58
498,44
499,44
500,51
501,28
502,35
503,35
504,44
505,28
506,51
507,51
508,51
509,51
510,51
511,35
512,51
513,60
514,60
515,35
516,35
517,35
518,35
519,35
520,35
521,12
522,41
523,62
524,57
525,57
526,57
527,57
528,57
529,57
530,57
531,39
532,39
533,26
534,41
535,26
536,63
537,41
538,57
539,41
540,57
541,39
542,41
543,14
544,61
545,30
546,47
547,63
548,41
549,41
550,12
551,56
552,39
553,26
554,36
555,39
556,63
557,36
558,57
559,56
560,41
561,64
562,26
563,56
564,26
565,4
566,22
567,20
568,20
569,22
570,20
571,26
572,22
573,8
574,26
575,6
576,4
577,4
578,22
579,4
580,10
581,8
582,6
583,6
584,10
585,20
586,26
587,26
588,10
589,26
590,22
591,26
592,10
593,26
594,37
595,39
596,57
597,57
598,20
599,39
600,39
601,55
602,20
603,55
604,20
605,10
606,22
607,26
608,22
609,22
610,26
611,26
612,57
613,22
614,20
615,39
616,20
617,2
618,39
619,41
620,26
621,20
622,20
623,26
624,2
625,18
626,26
627,26
628,20
629,4
630,4
631,26
632,4
633,22
634,39
635,18
636,4
637,10
638,10
639,6
640,20
641,12
642,8
643,10
644,26
645,26
646,26
647,26
648,26
649,26
650,26
651,26
652,64
653,57
654,41
655,26
656,41
657,21
658,25
659,19
660,25
661,25
662,21
663,25
664,25
665,9
666,9
667,21
668,25
669,11
670,25
671,40
672,25
673,29
674,25
675,46
676,46
677,46
678,21
679,38
680,7
681,19
682,21
683,9
684,19
685,46
686,29
687,25
688,29
689,25
690,46
