save_name,location,int_decode,intervention_combo,year,type,value
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,1,Incidence,4.12694968217376e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,2,Incidence,4.1298821039312e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,3,Incidence,4.13280417177109e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,4,Incidence,4.13571703572343e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,5,Incidence,4.13862166079248e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,6,Incidence,4.14151885891518e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,7,Incidence,4.14440931524591e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,8,Incidence,4.1472936097879e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,9,Incidence,4.1501722352019e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,10,Incidence,4.15304561147741e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,11,Incidence,4.1559140980274e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,12,Incidence,4.20911239675484e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,13,Incidence,4.21086505749109e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,14,Incidence,4.26813286672242e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,15,Incidence,4.24085996624253e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,16,Incidence,4.21847001450376e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,17,Incidence,4.20032281396128e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,18,Incidence,4.18564699815536e-06
JO4ReiLeyo_loc1_loop1,1,ITN 80%/IRS 80%/Larvicide 0%,0;0.4;0.8_0;0;0.8_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,19,Incidence,4.1738118404575e-06
